,Unnamed: 0,instNum,instName,city,s\bagrut- list of schools.xlsx,es\main list - highschool.xlsx,all_files\school - bagrut.xlsx,list from students report.xlsx,nts/all_files\schools_utm.xlsx, list from school - money.xlsx
861,861,384040.0,אלסלאם,ג'סר א-זרקא,True,True,False,False,False,True
862,862,384099.0,אלקיאן לקשר ותקשורת,כפר קרע,True,False,False,False,True,False
863,863,384123.0,בית אקשטיין פרדס חנה,פרדס חנה-כרכור,True,False,False,True,True,False
864,864,384164.0,בית אקשטיין דרור,פרדס חנה-כרכור,True,False,False,True,True,False
865,865,384180.0,ממגד גבעות,רכסים,True,True,True,True,True,True
866,866,384198.0,באר מרים,חדרה,True,True,True,True,True,True
867,867,384230.0,אל אשראק,עספיא,True,True,True,True,True,True
868,868,384305.0,"שבילים ע""ש בגין",פרדס חנה-כרכור,True,True,True,True,True,True
869,869,384370.0,"תיכון ממ""ד",זכרון יעקב,True,True,True,True,True,True
870,870,384412.0,"חט""ב מערבית",ג'ת,True,False,False,False,False,False
871,871,384461.0,"חט""ב עארה",ערערה,True,False,False,False,False,False
872,872,384479.0,חופים,חדרה,True,False,False,False,False,False
873,873,410001.0,תיכון אלעולא,לוד,True,False,True,True,True,True
874,874,410076.0,אולפנת - לבנות ולהבנות,יבנה,True,True,True,True,True,True
875,875,410225.0,"תיכון ע""ש אל""מ עודד ראור",קדימה-צורן,True,True,False,True,True,True
876,876,410480.0,בית עדנאן לאוטיסטים,ירכא,True,False,False,True,True,False
877,877,412197.0,אפיקים,ירושלים,True,False,False,True,True,False
878,878,416362.0,אולפנת רעות,פתח תקווה,True,False,False,False,False,False
879,879,417204.0,תיכון להנדסה ולמדעים אורט ערבי,לוד,True,True,True,True,True,True
880,880,420000.0,"חט""ב חדשה",אכסאל,True,False,False,False,False,False
881,881,420018.0,על יסודי צור הדסה,צור הדסה,True,True,True,True,True,True
882,882,420026.0,ישיבת מערב שומרון,אלקנה,True,True,True,True,True,True
883,883,420042.0,אורט אלון עפולה,עפולה,True,True,True,True,True,True
884,884,420059.0,עגורים מבואות חרמון,דישון,True,False,False,True,True,False
885,885,420067.0,סאלד,כפר סבא,True,False,False,False,True,False
886,886,420083.0,דקלים,נס ציונה,True,False,False,False,True,False
887,887,420109.0,יהודה הלוי,נתניה,True,False,False,True,True,False
888,888,420133.0,מח ילדים אסף הרופא,באר יעקב,True,False,False,False,True,False
889,889,420141.0,רימונים,עפולה,True,False,False,True,True,False
890,890,420158.0,בלקינד,ראשון לציון,True,False,False,True,True,False
891,891,420166.0,"ביה""ס קפלן מח'ילדים",רחובות,True,False,False,False,True,False
892,892,420174.0,נוה צאלים,רמות השבים,True,False,False,True,True,False
893,893,420190.0,מוסד יובלים,רמלה,True,False,False,True,True,False
894,894,420208.0,חן השומרון,שבי שומרון,True,False,False,False,False,False
895,895,420224.0,גוונים,נתניה,True,False,False,False,True,False
896,896,420240.0,מרכז חינוכי שניידר,פתח תקווה,True,False,False,False,True,False
897,897,420257.0,אגם,רעננה,True,False,False,True,True,False
898,898,420265.0,התומר,נס ציונה,True,False,False,True,True,False
899,899,420273.0,אוהל אשר,אלעד,True,False,False,True,True,False
900,900,420307.0,נטעים-הבניית התנהגות,לוד,True,False,False,True,True,False
901,901,420331.0,דקל -תוחלת,לוד,True,False,False,False,True,False
902,902,420356.0,מיוחד רעות,פתח תקווה,True,False,False,False,False,False
903,903,420364.0,בני ארזים,ראשון לציון,True,False,False,True,True,False
904,904,420372.0,טומשין הבית של תמר משמר,משמר השרון,True,False,False,True,True,False
905,905,420414.0,מיוחד צורים,הוד השרון,True,False,False,True,True,False
906,906,420448.0,"בי""ח מאיר מח ילדים",כפר סבא,True,False,False,False,True,False
907,907,420463.0,"נירים חנ""מ",מעלה אדומים,True,False,False,False,True,False
908,908,420471.0,עידוד,רחובות,True,False,False,True,True,False
909,909,420489.0,"מקיף י""א",ראשון לציון,True,True,True,True,True,True
910,910,420497.0,אבדאע,יפיע,True,False,False,True,True,False
911,911,420505.0,"ממ""ד סיני",רמלה,True,False,False,True,True,False
912,912,420513.0,אבן חן(מוסד בני ציון),ראש העין,True,False,False,True,True,False
913,913,420521.0,"בי""ח גהה נעורים",פתח תקווה,True,False,False,True,True,False
914,914,420539.0,"ביה""ס נאות אילנה",ראש העין,True,False,False,True,True,False
