school,city,per student
520395,תל אביב-יפו,25899.90086
340091,נשר,25886.33854
240739,צפת,25882.18447
560094,תל אביב-יפו,25868.74509
441212,נתניה,25853.29159
544577,תל אביב-יפו,25821.77075
660332,ירושלים,25799.59411
249250,טובא-זנגריה,25793.30422
370304,פרדס חנה-כרכור,25789.89197
140160,ירושלים,25789.35562
270041,עפולה,25763.98216
640060,אשקלון,25763.30697
640086,דימונה,25759.66632
442368,רחובות,25748.01009
770875,ירושלים,25717.50381
471011,נתניה,25696.03615
244228,עפולה,25662.35733
442418,נתניה,25657.13831
670836,באר שבע,25656.28546
841155,כפר קמא,25630.27558
230284,צפת,25626.57316
340034,קרית מוצקין,25609.85357
615948,ירושלים,25591.7274
441808,רעננה,25590.47077
630905,אשדוד,25580.55155
544668,בת ים,25560.27199
441980,שומרון,25539.22964
644492,אילת,25532.76661
344093,חיפה,25522.08293
620534,באר שבע,25516.51563
470120,לוד,25510.32321
140145,ירושלים,25504.0803
249110,בענה,25454.58687
370122,טירת כרמל,25449.07051
347088,כפר קרע,25422.92872
499624,עכו,25401.41498
440990,ראש העין,25395.33129
